insee_code,commune_name,department_code,region_code,display_name,is_arrondissement
64001,Aast,64,75,Aast (64),False
55001,Abainville,55,44,Abainville (55),False
59001,Abancourt,59,32,Abancourt (59),False
60001,Abancourt,60,32,Abancourt (60),False
54001,Abaucourt,54,44,Abaucourt (54),False
55002,Abaucourt-Hautecourt,55,44,Abaucourt-Hautecourt (55),False
25001,Abbans-Dessous,25,27,Abbans-Dessous (25),False
25002,Abbans-Dessus,25,27,Abbans-Dessus (25),False
44001,Abbaretz,44,52,Abbaretz (44),False
60002,Abbecourt,60,32,Abbecourt (60),False
25003,Abbenans,25,27,Abbenans (25),False
80001,Abbeville,80,32,Abbeville (80),False
60003,Abbeville-Saint-Lucien,60,32,Abbeville-Saint-Lucien (60),False
02001,Abbécourt,02,32,Abbécourt (02),False
91001,Abbéville-la-Rivière,91,11,Abbéville-la-Rivière (91),False
54002,Abbéville-lès-Conflans,54,44,Abbéville-lès-Conflans (54),False
25004,Abbévillers,25,27,Abbévillers (25),False
34001,Abeilhan,34,76,Abeilhan (34),False
70001,Abelcourt,70,27,Abelcourt (70),False
39001,Abergement-la-Ronce,39,27,Abergement-la-Ronce (39),False
39002,Abergement-le-Grand,39,27,Abergement-le-Grand (39),False
39003,Abergement-le-Petit,39,27,Abergement-le-Petit (39),False
39004,Abergement-lès-Thésy,39,27,Abergement-lès-Thésy (39),False
64003,Abidos,64,75,Abidos (64),False
37001,Abilly,37,24,Abilly (37),False
64004,Abitain,64,75,Abitain (64),False
24001,Abjat-sur-Bandiat,24,75,Abjat-sur-Bandiat (24),False
62001,Ablain-Saint-Nazaire,62,32,Ablain-Saint-Nazaire (62),False
80002,Ablaincourt-Pressoir,80,32,Ablaincourt-Pressoir (80),False
62002,Ablainzevelle,62,32,Ablainzevelle (62),False
51001,Ablancourt,51,44,Ablancourt (51),False
95002,Ableiges,95,11,Ableiges (95),False
78003,Ablis,78,11,Ablis (78),False
14001,Ablon,14,28,Ablon (14),False
94001,Ablon-sur-Seine,94,11,Ablon-sur-Seine (94),False
54003,Aboncourt,54,44,Aboncourt (54),False
57001,Aboncourt,57,44,Aboncourt (57),False
70002,Aboncourt-Gesincourt,70,27,Aboncourt-Gesincourt (70),False
57002,Aboncourt-sur-Seille,57,44,Aboncourt-sur-Seille (57),False
74001,Abondance,74,84,Abondance (74),False
28001,Abondant,28,24,Abondant (28),False
64005,Abos,64,75,Abos (64),False
42001,Aboën,42,84,Aboën (42),False
57003,Abreschviller,57,44,Abreschviller (57),False
03001,Abrest,03,84,Abrest (03),False
05001,Abriès-Ristolas,05,93,Abriès-Ristolas (05),False
59002,Abscon,59,32,Abscon (59),False
16001,Abzac,16,75,Abzac (16),False
33001,Abzac,33,75,Abzac (33),False
64002,Abère,64,75,Abère (64),False
25005,Accolans,25,27,Accolans (25),False
07001,Accons,07,84,Accons (07),False
64006,Accous,64,75,Accous (64),False
57004,Achain,57,44,Achain (57),False
57006,Achen,57,44,Achen (57),False
67001,Achenheim,67,44,Achenheim (67),False
02002,Achery,02,32,Achery (02),False
80003,Acheux-en-Amiénois,80,32,Acheux-en-Amiénois (80),False
80004,Acheux-en-Vimeu,80,32,Acheux-en-Vimeu (80),False
62003,Acheville,62,32,Acheville (62),False
70003,Achey,70,27,Achey (70),False
62004,Achicourt,62,32,Achicourt (62),False
62005,Achiet-le-Grand,62,32,Achiet-le-Grand (62),False
62006,Achiet-le-Petit,62,32,Achiet-le-Petit (62),False
58001,Achun,58,27,Achun (58),False
60004,Achy,60,32,Achy (60),False
18001,Achères,18,24,Achères (18),False
78005,Achères,78,11,Achères (78),False
77001,Achères-la-Forêt,77,11,Achères-la-Forêt (77),False
35001,Acigné,35,53,Acigné (35),False
27001,Aclou,27,28,Aclou (27),False
27002,Acon,27,28,Acon (27),False
62007,Acq,62,32,Acq (62),False
27003,Acquigny,27,28,Acquigny (27),False
62008,Acquin-Westbécourt,62,32,Acquin-Westbécourt (62),False
02003,Acy,02,32,Acy (02),False
08001,Acy-Romance,08,44,Acy-Romance (08),False
60005,Acy-en-Multien,60,32,Acy-en-Multien (60),False
57007,Adaincourt,57,44,Adaincourt (57),False
78006,Adainville,78,11,Adainville (78),False
25006,Adam-lès-Passavant,25,27,Adam-lès-Passavant (25),False
25007,Adam-lès-Vercel,25,27,Adam-lès-Vercel (25),False
67002,Adamswiller,67,44,Adamswiller (67),False
65001,Adast,65,76,Adast (65),False
57008,Adelange,57,44,Adelange (57),False
70004,Adelans-et-le-Val-de-Bithaine,70,27,Adelans-et-le-Val-de-Bithaine (70),False
65003,Adervielle-Pouchergues,65,76,Adervielle-Pouchergues (65),False
79002,Adilly,79,75,Adilly (79),False
62009,Adinfer,62,32,Adinfer (62),False
34002,Adissan,34,76,Adissan (34),False
45001,Adon,45,24,Adon (45),False
86001,Adriers,86,75,Adriers (86),False
65002,Adé,65,76,Adé (65),False
2A001,Afa,2A,94,Afa (2A),False
19001,Affieux,19,75,Affieux (19),False
54004,Affléville,54,44,Affléville (54),False
69001,Affoux,69,84,Affoux (69),False
54005,Affracourt,54,44,Affracourt (54),False
62010,Affringues,62,32,Affringues (62),False
31001,Agassac,31,76,Agassac (31),False
34003,Agde,34,76,Agde (34),False
34004,Agel,34,76,Agel (34),False
47001,Agen,47,75,Agen (47),False
12001,Agen-d'Aveyron,12,76,Agen-d'Aveyron (12),False
21001,Agencourt,21,27,Agencourt (21),False
80005,Agenville,80,32,Agenville (80),False
80006,Agenvillers,80,32,Agenvillers (80),False
52001,Ageville,52,44,Ageville (52),False
21002,Agey,21,27,Agey (21),False
2B002,Aghione,2B,94,Aghione (2B),False
54006,Agincourt,54,44,Agincourt (54),False
47002,Agmé,47,75,Agmé (47),False
47003,Agnac,47,75,Agnac (47),False
43001,Agnat,43,84,Agnat (43),False
50002,Agneaux,50,28,Agneaux (50),False
60007,Agnetz,60,32,Agnetz (60),False
62011,Agnez-lès-Duisans,62,32,Agnez-lès-Duisans (62),False
02004,Agnicourt-et-Séchelles,02,32,Agnicourt-et-Séchelles (02),False
38003,Agnin,38,84,Agnin (38),False
62012,Agnières,62,32,Agnières (62),False
64007,Agnos,64,75,Agnos (64),False
62013,Agny,62,32,Agny (62),False
50003,Agon-Coutainville,50,28,Agon-Coutainville (50),False
24002,Agonac,24,75,Agonac (24),False
03002,Agonges,03,84,Agonges (03),False
34005,Agonès,34,76,Agonès (34),False
65004,Agos-Vidalos,65,76,Agos-Vidalos (65),False
16003,Agris,16,75,Agris (16),False
17002,Agudelle,17,75,Agudelle (17),False
12002,Aguessac,12,76,Aguessac (12),False
02005,Aguilcourt,02,32,Aguilcourt (02),False
81001,Aguts,81,76,Aguts (81),False
14003,Agy,14,28,Agy (14),False
64008,Ahaxe-Alciette-Bascassan,64,75,Ahaxe-Alciette-Bascassan (64),False
64009,Ahetze,64,75,Ahetze (64),False
53001,Ahuillé,53,52,Ahuillé (53),False
23001,Ahun,23,75,Ahun (23),False
21003,Ahuy,21,27,Ahuy (21),False
88002,Ahéville,88,44,Ahéville (88),False
59003,Aibes,59,32,Aibes (59),False
25008,Aibre,25,27,Aibre (25),False
79003,Aiffres,79,75,Aiffres (79),False
30001,Aigaliers,30,76,Aigaliers (30),False
08003,Aiglemont,08,44,Aiglemont (08),False
39006,Aiglepierre,39,27,Aiglepierre (39),False
27004,Aigleville,27,28,Aigleville (27),False
04001,Aiglun,04,93,Aiglun (04),False
06001,Aiglun,06,93,Aiglun (06),False
32001,Aignan,32,76,Aignan (32),False
21004,Aignay-le-Duc,21,27,Aignay-le-Duc (21),False
34006,Aigne,34,76,Aigne (34),False
